FISCAL YEAR,COUNTY NUMBER,County,PUBLIC SAFETY AND LEGAL SERVICES,PHYSICAL HEALTH SOCIAL SERVICES,"MENTAL HEALTH, ID & DD",COUNTY ENVIRONMENT AND EDUCATION,ROADS & TRANSPORTATION,GOVERNMENT SERVICES TO RESIDENTS,ADMINISTRATION,NONPROGRAM CURRENT,DEBT SERVICE,CAPITAL PROJECTS,SUBTOTAL EXPENDITURES,OPERATING TRANSFERS OUT,REFUNDED DEBT/PAYMENTS TO ESCROW,TOTAL EXPENDITURES & OTHER USES,Primary County Coordinates
2021,56,Lee,8089655,4356814,1437469,1980652,6247511,1332093,2467570,29432,4062265,2086084,32089545,2560641,0,34650186,POINT (-91.479264 40.6419764)
2010,57,LINN,22889957,20386771,30632342,8331197,11701595,3796412,9934940,25302,0,11610963,119309479,23690351,0,142999830,POINT (-91.5989646 42.0789478)
2011,57,LINN,23459578,22733319,32457453,6312279,12054848,3981800,11392117,28303,333434,29959608,142712739,15438902,0,158151641,POINT (-91.5989646 42.0789478)
2012,57,LINN,24176718,21405255,34473792,6826105,11730824,4064195,11396318,21391,1778226,35821907,151694731,15810681,0,167505412,POINT (-91.5989646 42.0789478)
2013,57,LINN,24626237,16700142,20909987,6751910,11798054,4457232,15029687,0,1763423,22369555,124406227,18610674,0,143016901,POINT (-91.5989646 42.0789478)
2014,57,LINN,24700172,13653340,14716860,7063481,12552471,4057642,14750357,0,1755463,11089978,104339764,18291392,0,122631156,POINT (-91.5989646 42.0789478)
2015,57,LINN,25811775,15186124,14267706,6786988,12809052,4331172,14491270,0,1817067,12127575,107628729,18431571,0,126060300,POINT (-91.5989646 42.0789478)
2016,57,LINN,26076813,14817370,13652134,7235587,12935615,4094263,14013152,0,1932922,14235722,108993578,22477843,0,131471421,POINT (-91.5989646 42.0789478)
2017,57,LINN,28081219,15083357,13260187,7913596,12554025,4712750,15182804,0,1917753,16930755,115636446,19015204,0,134651650,POINT (-91.5989646 42.0789478)
2018,57,LINN,28666217,15794853,11077210,7628335,12861993,4845341,16201463,0,2181500,19473489,118730401,18282480,9695000,146707881,POINT (-91.5989646 42.0789478)
2019,57,LINN,30485932,16466692,10166970,7808180,14360818,4813402,16734571,0,4066187,19292342,124195094,28847107,0,153042201,POINT (-91.5989646 42.0789478)
2020,57,Linn,31777138,16521626,10806476,8586522,15291796,5075663,17012228,0,6767575,41858637,153697661,27600190,0,181297851,POINT (-91.5989646 42.0789478)
2021,57,Linn,33859229,16903964,11835218,8673165,15908200,6540010,17871042,0,5499709,28015347,145105884,28173977,0,173279861,POINT (-91.5989646 42.0789478)
2010,58,LOUISA,2125529,635454,1090734,678161,3216983,278328,1482944,1213587,356298,911950,11989968,1768397,0,13758365,POINT (-91.2596184 41.2185073)
2011,58,LOUISA,2247083,610289,1316123,2153887,3287187,279099,916764,0,355650,668267,11834349,1520241,0,13354590,POINT (-91.2596184 41.2185073)
2012,58,LOUISA,2503477,555960,1521942,2280641,3100463,302268,862882,0,369263,2425764,13922660,2001604,0,15924264,POINT (-91.2596184 41.2185073)
2013,58,LOUISA,2522290,607617,692669,1250153,3135145,280384,918757,0,362439,142472,9911926,1540815,0,11452741,POINT (-91.2596184 41.2185073)
2014,58,LOUISA,2590898,656157,321306,2256939,3387196,273858,1019096,29094,364802,7087637,17986983,1612529,0,19599512,POINT (-91.2596184 41.2185073)
2015,58,LOUISA,2718382,688072,325765,3933472,3296043,300265,1032398,0,361721,2736488,15392606,2052184,0,17444790,POINT (-91.2596184 41.2185073)
2016,58,LOUISA,2821526,783531,305511,569264,3644340,358813,1077327,685,344430,1525473,11430900,1783787,0,13214687,POINT (-91.2596184 41.2185073)
2017,58,LOUISA,3033885,821333,301428,705623,3353767,375316,1133975,0,344630,115552,10185509,1959797,0,12145306,POINT (-91.2596184 41.2185073)
2018,58,LOUISA,3096720,720772,373802,744219,3161787,397680,1369596,0,339750,148460,10352786,2145331,0,12498117,POINT (-91.2596184 41.2185073)
2019,58,LOUISA,3267878,727956,435663,770216,3729292,363247,1236760,0,339870,1172851,12043733,2048515,0,14092248,POINT (-91.2596184 41.2185073)
2020,58,Louisa,3248512,708992,381543,784742,3882092,394276,1357064,0,1325339,925785,13008345,2685019,0,15693364,POINT (-91.2596184 41.2185073)
2021,58,Louisa,3272009,757399,434775,1019219,4324463,420403,1333033,0,0,1136699,12698000,1877526,0,14575526,POINT (-91.2596184 41.2185073)
2010,59,LUCAS,932610,645033,945087,170794,2405915,239313,931752,0,47900,1727144,8045548,859268,0,8904816,POINT (-93.3277207 41.0293738)
2011,59,LUCAS,984923,612698,969501,177514,2797783,252438,929094,0,41899,474398,7240248,930241,0,8170489,POINT (-93.3277207 41.0293738)
2012,59,LUCAS,985885,724429,867381,174954,3439489,266106,888527,0,253385,279250,7879406,742066,0,8621472,POINT (-93.3277207 41.0293738)
2013,59,LUCAS,917402,663920,717485,174015,2793090,276593,888974,0,302954,42126,6776559,596665,0,7373224,POINT (-93.3277207 41.0293738)
2014,59,LUCAS,965194,719367,517941,216980,2647718,278969,879482,12429,265169,136432,6629693,609505,0,7226128,POINT (-93.3277207 41.0293738)
2015,59,LUCAS,1002284,652375,532407,360263,2907160,271148,886777,0,496628,1099646,8208688,598667,0,8807355,POINT (-93.3277207 41.0293738)
2016,59,LUCAS,1027966,573833,652376,346861,3407501,276024,858529,0,283350,114586,7541026,587785,0,8128811,POINT (-93.3277207 41.0293738)
2017,59,LUCAS,1108306,513345,303486,376182,3746557,267094,956565,0,467788,235410,7974733,606130,0,8580863,POINT (-93.3277207 41.0293738)
2018,59,LUCAS,1116146,483404,409484,383994,3439138,307599,887310,0,52594,825279,7904948,636475,0,8541423,POINT (-93.3277207 41.0293738)
2019,59,LUCAS,1102372,505130,336302,393152,3773826,330188,1278049,0,52546,365212,8136777,703641,0,8840418,POINT (-93.3277207 41.0293738)
2020,59,Lucas,1127798,505306,414309,411176,3706769,360483,1156905,0,0,806951,8489697,751530,0,9241227,POINT (-93.3277207 41.0293738)
2021,59,Lucas,1180042,496984,325418,421666,3760630,377266,1190200,0,0,67480,7819686,782660,0,8602346,POINT (-93.3277207 41.0293738)
2010,60,LYON,2577836,778592,1030842,722519,3727988,416108,880097,28097,279673,162667,10604419,1200867,1525000,13330286,POINT (-96.2102924 43.380497)
2011,60,LYON,2647818,794081,1048580,707324,4652244,419781,953436,105742,242866,1092719,12664591,1515669,0,14180260,POINT (-96.2102924 43.380497)
2012,60,LYON,2903469,784879,988223,765893,5080733,474243,1036436,80478,241523,1615066,13970943,1613253,0,15584196,POINT (-96.2102924 43.380497)
2013,60,LYON,3073517,817968,626177,848482,4095979,538165,1187133,85741,242323,653676,12169161,2043717,0,14212878,POINT (-96.2102924 43.380497)
2014,60,LYON,2830918,783180,376071,972028,4989651,472197,1085996,89923,243022,890108,12733094,2435549,0,15168643,POINT (-96.2102924 43.380497)
2015,60,LYON,3116104,632584,297772,919780,5149872,477492,1122711,70716,243622,3491044,15521697,2817236,0,18338933,POINT (-96.2102924 43.380497)
2016,60,LYON,3104828,547510,571317,924249,6100711,496395,1202811,69097,243560,2831704,16092182,2567513,0,18659695,POINT (-96.2102924 43.380497)
2017,60,LYON,3130512,594942,248113,917851,5482361,507543,1198827,231442,298420,3377714,15987725,3261618,0,19249343,POINT (-96.2102924 43.380497)
2018,60,LYON,3228766,588725,247902,899115,5472784,505084,1286478,92601,600419,6102052,19023926,2700192,0,21724118,POINT (-96.2102924 43.380497)
2019,60,LYON,3521410,612896,117977,898473,8334654,451757,1227717,91249,597400,1960961,17814494,3458654,0,21273148,POINT (-96.2102924 43.380497)
2020,60,Lyon,3507402,573446,295652,979595,6390028,459746,1195733,122232,632300,1876225,16032359,4130571,0,20162930,POINT (-96.2102924 43.380497)
2021,60,Lyon,3471539,580553,354933,900612,6484258,452737,1158759,120665,631300,4109363,18264719,4739037,0,23003756,POINT (-96.2102924 43.380497)
2010,61,MADISON,2361487,701565,1094895,588685,3841808,423668,831889,0,80362,820024,10744383,1316523,0,12060906,POINT (-94.01556190000001 41.33071420000001)
2011,61,MADISON,2387765,687715,1256812,637697,4262819,438054,904796,0,113182,503962,11192802,1379200,0,12572002,POINT (-94.01556190000001 41.33071420000001)
2012,61,MADISON,2745345,643876,1407097,637666,4569008,456090,860975,0,93710,1241392,12655159,1458915,0,14114074,POINT (-94.01556190000001 41.33071420000001)
2013,61,MADISON,2509698,692086,429755,680617,4602808,467314,861763,0,97615,368774,10710430,1498096,0,12208526,POINT (-94.01556190000001 41.33071420000001)
2014,61,MADISON,2622355,640396,733730,712250,4416115,463833,1107140,0,96850,169099,10961768,1557236,0,12519004,POINT (-94.01556190000001 41.33071420000001)
2015,61,MADISON,2682204,792309,1114368,773640,4653350,442477,985595,0,95365,446038,11985346,1818601,0,13803947,POINT (-94.01556190000001 41.33071420000001)
2016,61,MADISON,2675287,817419,462437,780738,5254434,529836,993343,0,94030,586603,12194127,1349552,0,13543679,POINT (-94.01556190000001 41.33071420000001)
2017,61,MADISON,2948275,714807,376339,792886,5794230,552889,1030804,0,114665,1015015,13339910,1664781,0,15004691,POINT (-94.01556190000001 41.33071420000001)
2018,61,MADISON,3088885,741567,385826,874090,5490964,483131,1232490,0,137999,1837896,14272848,1917625,0,16190473,POINT (-94.01556190000001 41.33071420000001)
2019,61,MADISON,3487142,769949,29720,842598,5748842,593858,1428111,0,137027,1366978,14404225,2052354,0,16456579,POINT (-94.01556190000001 41.33071420000001)
2020,61,Madison,3320424,756296,684533,946751,6373639,642508,1608543,0,135353,641910,15109957,2567354,0,17677311,POINT (-94.01556190000001 41.33071420000001)
2021,61,Madison,3689837,818966,426685,989540,5950685,647261,1726959,0,198369,4200007,18648309,2427168,0,21075477,POINT (-94.01556190000001 41.33071420000001)
2010,62,MAHASKA,2677678,725105,2320389,823636,4947327,513325,1050321,784149,8490,1452817,15303237,1643729,0,16946966,POINT (-92.6409094 41.3352035)
2011,62,MAHASKA,2870522,662609,2282162,633618,5525361,525914,1035741,834009,8490,943680,15322106,1696285,0,17018391,POINT (-92.6409094 41.3352035)
2012,62,MAHASKA,2892304,606794,3006027,847406,5220352,555905,1171249,1053190,8490,217237,15578954,1767856,0,17346810,POINT (-92.6409094 41.3352035)
2013,62,MAHASKA,2943280,657195,2256253,708937,5542507,568948,1061628,853338,8490,745914,15346490,1863699,0,17210189,POINT (-92.6409094 41.3352035)
2014,62,MAHASKA,3094296,736181,1207098,661225,5849892,568603,1078482,841540,8490,0,14045807,2339191,0,16384998,POINT (-92.6409094 41.3352035)
2015,62,MAHASKA,3090706,670980,756382,1083696,5149119,541956,1243061,860617,8490,131510,13536517,2123635,0,15660152,POINT (-92.6409094 41.3352035)
2016,62,MAHASKA,3142976,634100,1168153,973053,6050436,610740,1295220,938593,8490,4430,14826191,2231398,0,17057589,POINT (-92.6409094 41.3352035)
2017,62,MAHASKA,3646989,645717,911148,1239214,6099878,584821,1262481,1342782,8490,182091,15923611,2204829,0,18128440,POINT (-92.6409094 41.3352035)
2018,62,MAHASKA,3992842,660074,783837,931397,6079524,583741,1466218,195571,417111,5964976,21075291,3860647,0,24935938,POINT (-92.6409094 41.3352035)
2019,62,MAHASKA,5081365,639850,1198166,1243636,7461468,613174,1485900,131739,391762,1865208,20112268,3267947,0,23380215,POINT (-92.6409094 41.3352035)
2020,62,Mahaska,4333537,620766,1159612,1607911,5730970,631948,2307920,64087,810202,564607,17831560,3208871,0,21040431,POINT (-92.6409094 41.3352035)
2021,62,Mahaska,4244032,705723,839312,1052898,7362629,687209,1894699,0,1028408,1018984,18833894,3352546,0,22186440,POINT (-92.6409094 41.3352035)
2010,63,MARION,3045494,2364116,2303064,1222011,5849352,597933,2095871,0,725049,703002,18905892,1935933,0,20841825,POINT (-93.0994367 41.3344515)
2011,63,MARION,3141481,2507106,2247411,1476748,6673032,623520,2099686,0,549444,1262228,20580656,1961011,0,22541667,POINT (-93.0994367 41.3344515)
2012,63,MARION,3376401,2494558,3256013,1381830,5904391,616057,2281425,0,585323,1416845,21312843,2977489,3536739,27827071,POINT (-93.0994367 41.3344515)
2013,63,MARION,3452249,2317616,1799692,1325745,5552852,696000,2233867,0,485757,406741,18270519,2251465,0,20521984,POINT (-93.0994367 41.3344515)
2014,63,MARION,3749100,2402065,1552411,1407700,5717979,695559,2502444,0,519766,734141,19281165,2630145,0,21911310,POINT (-93.0994367 41.3344515)
2015,63,MARION,3910890,2404115,783158,1529032,5823181,726921,2773723,0,447903,1445448,19844371,2263377,0,22107748,POINT (-93.0994367 41.3344515)
2016,63,MARION,4155481,2366216,900091,1464712,5920806,856193,2773112,0,451119,792154,19679884,2204370,0,21884254,POINT (-93.0994367 41.3344515)
2017,63,MARION,4714904,2877088,1233593,1557156,6734830,767548,2771285,0,523527,1614166,22794097,2330880,0,25124977,POINT (-93.0994367 41.3344515)
2018,63,MARION,4580319,3320966,1290249,1602884,7143050,811227,3382716,0,527841,1420396,24079648,2397421,0,26477069,POINT (-93.0994367 41.3344515)
2019,63,MARION,4795103,3244618,2949337,1652118,6646315,732740,3506891,0,462763,747982,24737867,2544148,0,27282015,POINT (-93.0994367 41.3344515)
2020,63,Marion,4628778,2765055,1209022,1831909,6852277,810135,4388535,0,369417,1474956,24330084,2524216,0,26854300,POINT (-93.0994367 41.3344515)
2021,63,Marion,4914757,2512228,1203969,6510271,7759628,793409,3871438,0,407449,2890504,30863653,2772977,0,33636630,POINT (-93.0994367 41.3344515)
2010,64,MARSHALL,6198783,936544,3447522,890062,5218696,817562,2698999,0,581984,316135,21106287,1828700,0,22934987,POINT (-92.9987706 42.0358499)
2011,64,MARSHALL,6237543,995112,3995091,908982,5627425,787610,2411562,0,2482183,1196448,24641956,3692822,0,28334778,POINT (-92.9987706 42.0358499)
2012,64,MARSHALL,7054739,930548,4443055,996987,6219370,717913,2441394,0,594129,1420571,24818706,2936114,0,27754820,POINT (-92.9987706 42.0358499)
2013,64,MARSHALL,6812448,799890,2128751,1306613,6049959,722322,2550101,0,593550,439140,21402774,2230100,0,23632874,POINT (-92.9987706 42.0358499)
2014,64,MARSHALL,7102139,762898,1146228,916279,6256857,933942,2658942,0,634839,138273,20550397,2009248,0,22559645,POINT (-92.9987706 42.0358499)
2015,64,MARSHALL,7281621,593260,4905991,980241,6199925,813847,2627516,0,748865,930395,25081661,2533545,0,27615206,POINT (-92.9987706 42.0358499)
2016,64,MARSHALL,7423916,631466,1061800,959723,6740523,831108,2456159,0,731651,482802,21319148,2684641,0,24003789,POINT (-92.9987706 42.0358499)
2017,64,MARSHALL,7602282,603111,958906,892080,6801245,958226,2604337,0,744099,131103,21295389,2764932,0,24060321,POINT (-92.9987706 42.0358499)
2018,64,MARSHALL,7821114,609712,933943,933427,7386762,904653,2681178,0,768080,902338,22941207,3273814,0,26215021,POINT (-92.9987706 42.0358499)
2019,64,MARSHALL,8710578,513754,904443,1185336,8070982,896946,2622194,0,117315,14256414,37277962,3817604,0,41095566,POINT (-92.9987706 42.0358499)
2020,64,Marshall,9026307,487053,1327365,1019062,8610217,849778,2309649,0,30860,6838196,30498487,4257578,0,34756065,POINT (-92.9987706 42.0358499)
2021,64,Marshall,9177876,523253,1005283,986553,7803552,971099,2467358,0,30865,11564354,34530193,7277779,0,41807972,POINT (-92.9987706 42.0358499)
2010,65,MILLS,2165994,1533639,1298261,639753,4754089,447353,1237301,0,0,4185,12080575,1515000,0,13595575,POINT (-95.62132670000001 41.0334523)
2011,65,MILLS,2408351,1545463,1354396,629692,5272181,422020,1083625,200000,100980,543764,13560472,1550000,0,15110472,POINT (-95.62132670000001 41.0334523)
2012,65,MILLS,3002337,1515264,1580794,763988,4549103,449914,1207496,0,103690,4994,13177580,1735608,0,14913188,POINT (-95.62132670000001 41.0334523)
2013,65,MILLS,2659726,1669280,487237,756731,4721759,482986,2958336,0,106170,22309,13864534,1881607,0,15746141,POINT (-95.62132670000001 41.0334523)
2014,65,MILLS,2612856,1582893,201478,1662344,4749286,508538,1717676,0,522266,3598506,17155843,2147216,0,19303059,POINT (-95.62132670000001 41.0334523)
2015,65,MILLS,2901204,1557210,2072669,787286,4445435,490505,1346149,0,535436,2244021,16379915,2138815,0,18518730,POINT (-95.62132670000001 41.0334523)
2016,65,MILLS,3139183,1724686,312132,1373147,5131827,530940,1333773,0,538535,1182630,15266853,2515785,0,17782638,POINT (-95.62132670000001 41.0334523)
2017,65,MILLS,3377041,1638556,579455,1243891,5704840,504004,1538437,0,166872,3550399,18303495,2472753,0,20776248,POINT (-95.62132670000001 41.0334523)
2018,65,MILLS,3448742,2118574,441846,1314407,4951952,535830,1821183,0,1079267,710543,16422344,2491271,0,18913615,POINT (-95.62132670000001 41.0334523)
2019,65,MILLS,4070202,2087597,313828,1735621,5972466,538889,1997357,0,1190385,2267689,20174034,2610236,0,22784270,POINT (-95.62132670000001 41.0334523)
2020,65,Mills,3693449,2318622,274969,1658389,9024319,581857,2444620,0,1287855,1486016,22770096,2501886,0,25271982,POINT (-95.62132670000001 41.0334523)
2021,65,Mills,4231362,1819491,374384,11930142,7880507,673004,3564052,0,1212038,383392,32068372,2637414,0,34705786,POINT (-95.62132670000001 41.0334523)
2010,66,MITCHELL,1474125,1089075,1350066,1243407,3789740,267233,1026890,0,765704,8784939,19791179,1476160,0,21267339,POINT (-92.7890315 43.3564124)
2011,66,MITCHELL,1368286,1743408,385073,1361144,3606089,282970,1036009,0,766872,1834450,12384301,2850372,0,15234673,POINT (-92.7890315 43.3564124)
2012,66,MITCHELL,1394392,1590845,975416,2021413,3097181,282535,1420631,0,897948,3978497,15658858,5128267,0,20787125,POINT (-92.7890315 43.3564124)
2013,66,MITCHELL,1425997,1748469,753545,1060748,3331002,309713,2332995,0,1448391,1870947,14281807,1492118,0,15773925,POINT (-92.7890315 43.3564124)
2014,66,MITCHELL,1443589,1553745,550883,1309864,4873826,311207,2078487,66848,1698920,7484963,21372332,1444553,0,22816885,POINT (-92.7890315 43.3564124)
2015,66,MITCHELL,1544092,1678218,517206,1340193,5771801,356295,2224865,33460,2935341,11840010,28241481,1211630,0,29453111,POINT (-92.7890315 43.3564124)
2016,66,MITCHELL,1664366,1710961,579419,1227930,4336260,381904,1743699,0,4264595,2462370,18371504,1404625,0,19776129,POINT (-92.7890315 43.3564124)
2017,66,MITCHELL,1746015,1694305,583325,1900949,4180670,359971,1458907,0,4029923,1645527,17599592,1290000,0,18889592,POINT (-92.7890315 43.3564124)
2018,66,MITCHELL,1749511,1751913,558431,1675510,3175866,373759,2408549,0,5704526,883367,18281432,1344160,0,19625592,POINT (-92.7890315 43.3564124)
2019,66,MITCHELL,1874373,1222584,537404,1583626,4262246,400536,2527698,0,5086666,1729602,19224735,1396180,0,20620915,POINT (-92.7890315 43.3564124)
2020,66,Mitchell,1951332,1014186,567945,2266127,5466863,407303,2080417,0,12536479,415866,26706518,2773217,0,29479735,POINT (-92.7890315 43.3564124)
2021,66,Mitchell,2015523,1138513,317122,2456277,4761605,441387,2412802,0,4525169,562498,18630896,2706221,0,21337117,POINT (-92.7890315 43.3564124)
2010,67,MONONA,1542563,681751,907090,508426,4761331,358099,1236349,0,51161,653206,10699976,1051250,0,11751226,POINT (-95.9599235 42.0516663)
2011,67,MONONA,1536022,687595,807071,580500,4737031,350783,1230914,0,50274,690325,10670515,1153616,0,11824131,POINT (-95.9599235 42.0516663)
2012,67,MONONA,1633200,600590,1028629,692990,5036347,382851,1294965,0,49040,733200,11451812,1197623,0,12649435,POINT (-95.9599235 42.0516663)
2013,67,MONONA,1562511,464559,321786,551820,5936721,398597,1366288,0,48400,581694,11232376,1328169,0,12560545,POINT (-95.9599235 42.0516663)
2014,67,MONONA,1690467,512870,652336,709859,4634172,445222,1345315,0,48044,229373,10267658,1337139,0,11604797,POINT (-95.9599235 42.0516663)
2015,67,MONONA,1723313,426637,623689,640439,5042083,429818,1415837,0,46872,462924,10811612,1624461,0,12436073,POINT (-95.9599235 42.0516663)
2016,67,MONONA,1761169,465119,300992,664428,5168151,397402,1416210,0,45980,820734,11040185,1551110,0,12591295,POINT (-95.9599235 42.0516663)
2017,67,MONONA,1923951,449058,206908,797131,5263038,427047,1445252,300,0,1150834,11663519,1626616,0,13290135,POINT (-95.9599235 42.0516663)
2018,67,MONONA,2024202,403155,206517,781138,7116238,442618,1569471,104590,158995,343619,13150543,1673796,0,14824339,POINT (-95.9599235 42.0516663)
2019,67,MONONA,2055381,366742,186858,817413,6700859,435562,1582087,0,0,1255190,13400092,2997769,0,16397861,POINT (-95.9599235 42.0516663)
2020,67,Monona,2064869,223015,218500,935210,7504501,485447,1564022,0,0,1516502,14512066,1738484,0,16250550,POINT (-95.9599235 42.0516663)
2021,67,Monona,2231037,192229,272581,922950,7829370,485526,1420046,0,0,2143238,15496977,2036441,0,17533418,POINT (-95.9599235 42.0516663)
2010,68,MONROE,1108297,822144,742962,268732,2876141,335898,856853,0,452231,425224,7888482,843047,0,8731529,POINT (-92.8689877 41.0297826)
2011,68,MONROE,1163923,793520,713160,302716,2747878,335037,920047,0,434438,408326,7819045,686035,0,8505080,POINT (-92.8689877 41.0297826)
2012,68,MONROE,1234134,799522,950297,289054,2886192,347782,957838,0,484908,655862,8605589,822995,0,9428584,POINT (-92.8689877 41.0297826)
2013,68,MONROE,1257372,813732,405257,419961,2553120,348276,956121,0,529020,772530,8055389,813543,0,8868932,POINT (-92.8689877 41.0297826)
2014,68,MONROE,1308620,785044,320423,395851,2747216,373330,950447,0,347744,745115,7973790,904626,0,8878416,POINT (-92.8689877 41.0297826)
2015,68,MONROE,1368602,717929,315868,408984,2821176,390782,971124,0,1218894,680341,8893700,885109,0,9778809,POINT (-92.8689877 41.0297826)
2016,68,MONROE,1565845,713248,263154,501760,3101985,374064,1059231,0,851633,5102054,13532974,1893007,0,15425981,POINT (-92.8689877 41.0297826)
2017,68,MONROE,1605730,730888,386108,522076,4213448,401658,1090400,0,802090,813839,10566237,1331338,0,11897575,POINT (-92.8689877 41.0297826)
2018,68,MONROE,1760672,684043,329987,466639,3250374,411169,1117319,0,643977,108223,8772403,1238678,0,10011081,POINT (-92.8689877 41.0297826)
2019,68,MONROE,1816702,668859,877878,426751,3241687,424003,1204176,0,593672,380095,9633823,1412578,0,11046401,POINT (-92.8689877 41.0297826)
2020,68,Monroe,1865510,659464,293100,482208,3400215,417764,1138848,0,853758,670519,9781386,1379922,0,11161308,POINT (-92.8689877 41.0297826)
2021,68,Monroe,1998883,726328,305592,387196,3260443,447301,1126517,0,905303,15690,9173253,1488439,0,10661692,POINT (-92.8689877 41.0297826)
2010,69,MONTGOMERY,1722376,705839,1000879,344725,3696559,320659,762100,0,24362,1588525,10166024,990344,0,11156368,POINT (-95.1563758 41.03014)
2011,69,MONTGOMERY,1696776,686464,937260,271477,3476497,367615,761589,0,48810,1052896,9299384,1045508,0,10344892,POINT (-95.1563758 41.03014)
2012,69,MONTGOMERY,1845683,538579,1220982,322684,3140957,385690,888920,0,94909,4244434,12682838,1051902,0,13734740,POINT (-95.1563758 41.03014)
2013,69,MONTGOMERY,1823038,476235,573522,306911,3637017,459788,940179,0,413436,1023885,9654011,1075717,0,10729728,POINT (-95.1563758 41.03014)
2014,69,MONTGOMERY,1995173,459119,374186,310091,3803911,382690,892523,0,409238,195319,8822250,754957,0,9577207,POINT (-95.1563758 41.03014)
2015,69,MONTGOMERY,2048152,409385,1208343,413398,4148197,372612,1038501,0,411898,570506,10620992,790173,0,11411165,POINT (-95.1563758 41.03014)
2016,69,MONTGOMERY,2605710,514332,343993,412931,4654344,381259,1395539,0,411985,196849,10916942,850000,0,11766942,POINT (-95.1563758 41.03014)
2017,69,MONTGOMERY,2898131,553460,395215,422117,4052799,429915,1513878,0,408210,264623,10938348,867000,0,11805348,POINT (-95.1563758 41.03014)
2018,69,MONTGOMERY,3041199,469046,235382,422263,4665554,430846,1293229,0,597022,3269996,14424537,1080000,2080000,17584537,POINT (-95.1563758 41.03014)
2019,69,MONTGOMERY,3198661,496039,214725,410171,4463158,389665,1680507,0,1261820,890856,13005602,1010000,0,14015602,POINT (-95.1563758 41.03014)
2020,69,Montgomery,3203546,490034,245802,390815,3973795,406746,1152535,0,1259937,4112815,15236025,1080000,0,16316025,POINT (-95.1563758 41.03014)
2021,69,Montgomery,3288841,493501,250074,339164,3898123,434064,1254216,2861,1251993,1174874,12387711,1095850,0,13483561,POINT (-95.1563758 41.03014)
2010,70,MUSCATINE,7256021,1406345,4746636,1836605,6508691,787313,2570257,83815,3835638,4050744,33082065,2653041,0,35735106,POINT (-91.1127562 41.4839221)
2011,70,MUSCATINE,7733472,1187294,4930805,1400191,3917895,818154,2533819,7722,4175607,8277618,34982577,1165069,0,36147646,POINT (-91.1127562 41.4839221)
2012,70,MUSCATINE,9073301,1079889,5490406,952744,5367776,921889,2663268,0,4461871,1225361,31236505,1664100,0,32900605,POINT (-91.1127562 41.4839221)
2013,70,MUSCATINE,9430068,1156150,3626838,923574,5234030,755701,2731109,0,1574175,2493776,27925421,1736500,0,29661921,POINT (-91.1127562 41.4839221)
2014,70,MUSCATINE,8518489,1203748,2465092,966195,5109568,784258,2623616,0,1630157,5114992,28416115,2015124,0,30431239,POINT (-91.1127562 41.4839221)
2015,70,MUSCATINE,8909683,1042393,3029545,1155979,5957274,742308,2751078,0,1808964,1621266,27018490,2255650,0,29274140,POINT (-91.1127562 41.4839221)
2016,70,MUSCATINE,9191472,1101410,3670391,1205033,5996861,777373,2787698,0,8649897,4181872,37562007,2064143,0,39626150,POINT (-91.1127562 41.4839221)
2017,70,MUSCATINE,9484691,1086233,2335887,1186642,6521918,822174,2869832,0,9290952,3571667,37169996,3891582,0,41061578,POINT (-91.1127562 41.4839221)
2018,70,MUSCATINE,10053311,1085436,1540679,1169241,6019012,861778,2836858,0,2012336,2506327,28084978,4256329,0,32341307,POINT (-91.1127562 41.4839221)
2019,70,MUSCATINE,11419942,1081137,1425321,1398301,6618807,849234,3057502,0,1985691,1995262,29831197,4124294,0,33955491,POINT (-91.1127562 41.4839221)
2020,70,Muscatine,11972993,1300403,1320205,1245642,7786804,920925,3205611,0,2202463,3533593,33488639,4819710,0,38308349,POINT (-91.1127562 41.4839221)
2021,70,Muscatine,12092700,1477636,865859,1535739,5910816,977658,3544702,0,2418272,3968266,32791648,4632084,0,37423732,POINT (-91.1127562 41.4839221)
2010,71,OBRIEN,2609970,513078,1706942,716353,3488080,479594,886222,5190,377459,234400,11017288,1296793,0,12314081,POINT (-95.6248784 43.0837527)
2011,71,OBRIEN,2652292,493654,1791773,764455,3495543,476715,933391,7099,374946,673240,11663108,1311666,0,12974774,POINT (-95.6248784 43.0837527)
2012,71,OBRIEN,2759784,426379,1809783,855553,3879472,517617,980344,5944,736811,497054,12468741,1490340,0,13959081,POINT (-95.6248784 43.0837527)
2013,71,OBRIEN,2858500,385692,1197190,943967,3699553,525721,1061457,6456,2502239,1109004,14289779,1739612,0,16029391,POINT (-95.6248784 43.0837527)
2014,71,OBRIEN,3019950,407255,1003728,905172,4012927,634129,1264651,6676,736770,1194141,13185399,2119648,0,15305047,POINT (-95.6248784 43.0837527)
2015,71,OBRIEN,2927440,430806,887192,856367,4321214,522872,1178249,6958,862618,494654,12488370,2574908,0,15063278,POINT (-95.6248784 43.0837527)
2016,71,OBRIEN,2980613,413134,803409,870389,4722468,558113,1395408,32089,277585,782633,12835841,1935041,0,14770882,POINT (-95.6248784 43.0837527)
2017,71,OBRIEN,3012740,446135,606603,1167286,4522219,543876,1479574,239872,284710,1253706,13556721,2060380,0,15617101,POINT (-95.6248784 43.0837527)
2018,71,OBRIEN,3171368,489776,409869,915623,4417507,579167,1383604,98740,272458,1961307,13699419,2083135,0,15782554,POINT (-95.6248784 43.0837527)
