"GEOID","ï..County.x","Total","Retired.workers","Spouses","Children","Widow.er.s.and.parents","Children.1","Disabled.workers","Spouses.1","Children.2","Men..above.65.","Women..above.65.","ï..County.y","d2020","Total.disabled.population.of.all.ages.Pct","Total.disabled.population.of.all.ages"
19135,"Monroe","2,521","1,962","38",15,"174","50","270","0",14,"1,025","1,028","Jasper",37813,0.120276096,4548
19137,"Montgomery","3,948","3,088","51",13,"248","53","474","1",21,"1,621","1,652","Union",12138,0.150436645,1826
19139,"Muscatine","13,442","10,787","230",63,"753","249","1,305","5",50,"5,868","5,324","Jefferson",15663,0.14997127,2349
19141,"O'Brien","4,713","3,706","98",40,"381","103","371","0",13,"2,133","1,932","Van Buren",7203,0.153963626,1109
19143,"Osceola","1,985","1,553","44",8,"171","41","165","0",4,"861","847","Johnson",152854,0.073972549,11307
19145,"Page","5,712","4,485","74",41,"341","118","617","4",32,"2,460","2,296","Jones",20646,0.116535891,2406
19147,"Palo Alto","3,035","2,351","48",18,"269","80","258","1",9,"1,336","1,259","Wapello",35437,0.152806389,5415
19149,"Plymouth","7,950","6,428","154",28,"535","151","617","2",36,"3,585","3,297","Keokuk",10033,0.164756304,1653
19151,"Pocahontas","2,566","2,054","60",5,"189","35","210","0",13,"1,171","1,056","Kossuth",14828,0.166711627,2472
19153,"Polk","123,308","98,853","1,960",656,"6,320","2,251","12,656","25",588,"50,410","52,948","Warren",52403,0.10215064,5353
19155,"Pottawattamie","28,545","21,599","386",141,"1,677","629","3,901","6",206,"11,235","11,557","Lee",33555,0.148502459,4983
19157,"Poweshiek","6,463","5,340","107",21,"354","88","530","0",24,"2,878","2,721","Washington",22565,0.112031908,2528
19159,"Ringgold","1,725","1,410","25",9,"102","17","156","1",5,"780","709","Linn",230299,0.097308282,22410
19161,"Sac","3,651","2,976","75",12,"258","45","274","0",10,"1,647","1,538","Louisa",10837,0.119498016,1295
19163,"Scott","51,612","41,308","786",230,"3,115","968","4,986","14",205,"22,171","20,973","Wayne",6497,0.1414499,919
19165,"Shelby","4,378","3,461","61",16,"313","76","437","0",14,"1,941","1,806","Lucas",8634,0.175353255,1514
19167,"Sioux","8,693","7,014","260",43,"663","150","528","1",34,"4,100","3,681","Lyon",11934,0.106753813,1274
19169,"Story","21,860","18,275","479",121,"1,006","328","1,575","2",74,"9,925","9,267","Webster",36999,0.137030731,5070
19171,"Tama","5,739","4,558","95",39,"404","101","514","1",28,"2,541","2,277","Madison",16548,0.095842398,1586
19173,"Taylor","2,055","1,660","34",11,"135","23","179","0",12,"925","856","Winnebago",10679,0.129787433,1386
19175,"Union","4,033","3,147","47",24,"234","83","469","1",27,"1,648","1,648","Mahaska",22190,0.139837765,3103
19177,"Van Buren","2,570","2,066","45",9,"135","38","267","0",10,"1,151","1,011","Marion",33414,0.143981565,4811
19179,"Wapello","10,868","8,042","180",65,"799","264","1,453","7",58,"4,370","4,281","Winneshiek",20070,0.116841056,2345
19181,"Warren","15,433","12,774","227",61,"770","266","1,266","2",67,"6,744","6,429","Marshall",40105,0.108041391,4333
19183,"Washington","7,482","6,157","121",25,"400","97","644","1",35,"3,342","3,161","Mills",14484,0.146437448,2121
19185,"Wayne","2,117","1,672","27",7,"153","34","213","0",10,"934","863","Woodbury",105941,0.115866378,12275
19187,"Webster","11,838","9,238","186",48,"711","239","1,351","4",61,"4,844","4,870","Mitchell",10565,0.120681496,1275
19189,"Winnebago","3,722","3,022","63",12,"248","53","308","1",15,"1,658","1,564","Worth",7443,0.141072148,1050
19191,"Winneshiek","6,802","5,695","128",31,"422","102","412","1",12,"3,177","2,892","Monona",8751,0.149468632,1308
19193,"Woodbury","27,504","21,170","402",171,"1,731","649","3,225","6",150,"11,159","11,221","Monroe",7577,0.134485944,1019
19195,"Worth","2,474","2,010","42",6,"161","45","201","0",8,"1,110","1,026","Wright",12943,0.131113343,1697
19197,"Wright","4,414","3,531","73",12,"351","62","370","1",14,"1,982","1,824","Montgomery",10330,0.134172314,1386
NA,"","","","",NA,"","","","",NA,"","",NA,NA,NA,NA
