"GEOID","ï..County","Total","Aged","Blind.and.disabled","Under.18","X18â..64","X65.or.older","SSI.recipients.also.receiving.OASDI","Amount.of.payments..thousands.of.dollars..a","County","stateName","state","pop2010","noaa_long","noaa_short","RUCC_2013","OMB_popDivision","igfi_popDivision"
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,"","",NA,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
