County,GEOID,Total,Retired workers,Spouses,Children,Widow(er)s and parents,Children,Disabled workers,Spouses,Children,Men (above 65),Women (above 65)
Poweshiek,19157,"6,463","5,340",107,21,354,88,530,0,24,"2,878","2,721"
Ringgold,19159,"1,725","1,410",25,9,102,17,156,1,5,780,709
Sac,19161,"3,651","2,976",75,12,258,45,274,0,10,"1,647","1,538"
Scott,19163,"51,612","41,308",786,230,"3,115",968,"4,986",14,205,"22,171","20,973"
Shelby,19165,"4,378","3,461",61,16,313,76,437,0,14,"1,941","1,806"
Sioux,19167,"8,693","7,014",260,43,663,150,528,1,34,"4,100","3,681"
Story,19169,"21,860","18,275",479,121,"1,006",328,"1,575",2,74,"9,925","9,267"
Tama,19171,"5,739","4,558",95,39,404,101,514,1,28,"2,541","2,277"
Taylor,19173,"2,055","1,660",34,11,135,23,179,0,12,925,856
Union,19175,"4,033","3,147",47,24,234,83,469,1,27,"1,648","1,648"
Van Buren,19177,"2,570","2,066",45,9,135,38,267,0,10,"1,151","1,011"
Wapello,19179,"10,868","8,042",180,65,799,264,"1,453",7,58,"4,370","4,281"
Warren,19181,"15,433","12,774",227,61,770,266,"1,266",2,67,"6,744","6,429"
Washington,19183,"7,482","6,157",121,25,400,97,644,1,35,"3,342","3,161"
Wayne,19185,"2,117","1,672",27,7,153,34,213,0,10,934,863
Webster,19187,"11,838","9,238",186,48,711,239,"1,351",4,61,"4,844","4,870"
Winnebago,19189,"3,722","3,022",63,12,248,53,308,1,15,"1,658","1,564"
Winneshiek,19191,"6,802","5,695",128,31,422,102,412,1,12,"3,177","2,892"
Woodbury,19193,"27,504","21,170",402,171,"1,731",649,"3,225",6,150,"11,159","11,221"
Worth,19195,"2,474","2,010",42,6,161,45,201,0,8,"1,110","1,026"
Wright,19197,"4,414","3,531",73,12,351,62,370,1,14,"1,982","1,824"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
