Unique Line ID,Fiscal Year Ending,County,County Name,Public Safety & Legal Services,Physical Health & Social Services,"Mental Health MR, DD",County Environment & Education,Roads & Transportation,Government Services to Residents,Administration,Nonprogram Current,Debt Service,Capital Projects,Sub-Total Expenditures,Operating Transfers Out,Refunded Debt/Escrow,Total Expenditures,Increase (Decrease) in Reserves,Total Ending Fund Balance,Total Requirements,Primary County Coordinates
2022_48_IOWA_EXPEND_SA,2022,48,IOWA,6050223,1493459,581176,1155727,7265028,925876,6532180,115500,777057,2000180,26896406,1315000,0,28211406,0,7065092,35276498,POINT (-92.065524 41.6863229)
2013_7_BLACK HAWK_EXPEND_SA,2013,7,BLACK HAWK,17969495,8216333,7344615,7053057,5768875,1707763,5345284,0,5672703,1758146,60836271,2653603,0,63489874,0,20911093,84400967,POINT (-92.3088197 42.4700957)
2015_68_MONROE_EXPEND_SA,2015,68,MONROE,1777974,847233,459702,769119,2593213,456894,1267620,0,877692,4940000,13989447,1535157,0,15524604,0,2233801,17758405,POINT (-92.8689877 41.0297826)
2016_75_PLYMOUTH_EXPEND_SA,2016,75,PLYMOUTH,3719174,399549,534483,1032437,7969000,855448,3619782,0,1737750,2741000,22608623,4038775,0,26647398,0,4599449,31246847,POINT (-96.2140431 42.7378346)
2017_87_TAYLOR_EXPEND_SA,2017,87,TAYLOR,1689009,1075330,96307,264537,4109000,364347,765317,0,953605,1150000,10467452,796290,0,11263742,0,3023512,14287254,POINT (-94.6964148 40.73743240000001)
2008_38_GRUNDY_EXPEND_SA,2008,38,GRUNDY,1638317,487059,1354281,1218163,3673820,387333,1587829,0,102378,1226270,11675450,1139600,0,12815050,0,3806462,16621512,POINT (-92.7914177 42.4018651)
2019_2_ADAMS_EXPEND_SA,2019,2,ADAMS,1497408,222802,178811,783392,3580000,348064,854208,0,872529,155000,8492214,1036711,0,9528925,0,2309564,11838489,POINT (-94.6991849 41.02898390000001)
2022_41_HANCOCK_EXPEND_SA,2022,41,HANCOCK,2308735,487445,201970,824061,6603502,643478,2098636,7500,0,1525000,14700327,2728600,0,17428927,0,5963087,23392014,POINT (-93.7342723 43.0818861)
2014_20_CLARKE_EXPEND_SA,2014,20,CLARKE,1633601,1017370,443262,260275,2603047,427703,942749,0,398916,525014,8251937,643141,0,8895078,0,2649364,11544442,POINT (-93.78515790000002 41.0290323)
2014_67_MONONA_EXPEND_SA,2014,67,MONONA,1711160,547630,436500,672817,4979614,494493,1444745,0,47678,681000,11015637,1488139,0,12503776,0,3973319,16477095,POINT (-95.9599235 42.0516663)
